video_id,title,published_at,channel_title
5zuF4Ys1eAw,AI Trends for 2025,2024-12-23T12:00:06Z,IBM Technology
rWhEfC6BdK0,Melisa Albas: What Are The Emerging Analytical Trends In Finance? | BIG DATA WEST 2024,2024-11-05T15:21:45Z,Big Data & Analytics 
vG6zNUy_4Hw,DON&#39;T Get Left Behind! 2025 Data Engineering Trends to Master!,2024-10-27T15:07:20Z,Darshil Parmar
KPTR3FmZ80U,Possible 2024 LA Breakout Session: Modern Data Architecture Trends,2024-10-25T04:12:24Z,Teradata
2rN0XTW8dU8,Top 10 Technologies To Learn In 2025 | Top Trending Technologies To Learn In 2025 | Simplilearn,2024-10-16T14:30:01Z,Simplilearn
-nu_h_qtLrQ,Data Analyst Salary &amp; Job Market in 2025 #DataAnalyst #DataScience #DataAnalystSalary  #BigData #ai,2024-10-16T11:45:53Z,Zubani Jack
BRfuNh7xsgk,New trends in Data and AI,2024-09-21T12:37:00Z,The Ravit Show
nlcR7sVD_c8,RWEsearch 2024 | Day 2 | Future Advancements and Trends in Multimodal Data Utilization,2024-09-13T13:00:35Z,Healthark Insights
iCn6tAKc8gE,6 Retail Digital Transformation Trends for 2024,2024-08-23T08:41:54Z,TECHVIFY Software
wXc2tao51D4,Top 10 Emerging Technologies of 2024 (According to Science),2024-08-17T14:15:04Z,AI Uncovered
