video_id,title,published_at,channel_title
l_DSupG77ME,How I&#39;d learn Data Engineering in 2025 (if I could start over),2025-02-13T14:03:48Z,Darshil Parmar
8-R237yhzSM,😱15 years career gap to Data Analyst🤯 | Inspiring Journey🚀|How to get it job after career gap Tamil,2025-02-13T13:30:08Z,HR_Navin
k17S-Btenag,MLOPS Roadmap 2025 | Beginner To Production,2025-02-12T13:12:00Z,E-Learning Bridge
MqqW9Xfmj2M,Data Engineering for Artificial Intelligence | The Hidden Power,2025-02-11T23:44:03Z,Education Nest
pGCJzYPib-0,Real Interview Q&amp;A for Senior Data Engineer #9 with a Hiring Manager | Surfalytics,2025-02-11T18:00:40Z,Surfalytics TV
eRfL_pGvH1E,Data Engineering Roadmap for Freshers | Step-by-Step Guide to Become a Data Engineer in 2025!,2025-02-11T16:42:46Z,Bhonesh Chawla Education
N56wkx_O-ZM,"IT Career Roadmap: How Software, Data, &amp; AI Work Together",2025-02-11T16:29:58Z,Avinash Navlani
tKUJZcWOxvw,Big Data Demystified: Challenges Every Cloud Engineer Must Solve | Roadmap for Cloud Engineering,2025-02-11T14:34:06Z,KSR Datavizon 
QkA9Du0ZPMA,"Roadmap to become a Data Engineer in 2025: Skills, Career Path &amp; Cloud Platforms (AWS, Azure, GCP)",2025-02-11T05:00:06Z,itversity
vJJgVB_VdQM,Unlock Your AI Potential: Career Roadmap to AI Engineer- AlmaBetter Free Masterclass,2025-02-09T23:07:59Z,AlmaBetter
