video_id,title,published_at,channel_title
5yg0EUmHBZ8,Foundation Models: Built on the MLOps Lifecycle,2025-01-31T14:33:37Z,neptune_ai
fgAMx9ijhCw,Mastering Experimentation in MLOps: Best Practices &amp; Tools - MLFlow,2025-01-30T15:30:21Z,Manifold AI Learning
aZZ5jSjN544,MLOps Full Course - Day 4 | Real-Time Projects + Best Practices | Don&#39;t Miss Out! 🚀,2025-01-24T19:29:12Z,"Emergency TechOps | CloudOps, MLOps & AIOps"
0JhsY7__4EE,Best Practices in MLOps | Exclusive Lesson,2025-01-17T16:00:38Z,YouAccel
2v8Sops3n1A,End To End MLOps with Başak Eskili #54,2025-01-09T05:45:00Z,AI Stories Podcast - Neil Leiser
lvV-DCNOxto,Mastering MLOps: A Beginner&#39;s Guide to AI Success,2024-12-23T03:14:15Z,AI Guru Shailendra Kumar
3UcPBywE9-Q,AWS MLOps Troubleshooting A Journey Through Common Pitfalls,2024-12-16T08:20:26Z,GenX Consultancy Services DMCC
SAD58pvDHj0,Why DevOps &amp; MLOps Should Focus on People Over Technology // Harcharan Kabbay // Podcast #256 shorts,2024-12-15T16:33:33Z,MLOps.community
QGAyvtkAR3A,MERIT Partners&#39; Insights: The concept of MLOps - Exacaster,2024-12-12T23:00:17Z,Digital MERIT
cKGSZj7XtKg,Lecture 3 Understanding the MLOps Lifecycle | Key Phases &amp; Best Practices for AI Deployment,2024-12-08T17:11:33Z,"Emergency TechOps | CloudOps, MLOps & AIOps"
