video_id,title,published_at,channel_title
gXWhq6CpG_8,10 Generative AI Startup Ideas for 2024–2025 (Backed by Trends &amp; Data)** 🌟,2025-02-10T06:29:18Z,LearnGenAIFree
PF4K6n6XkUE,Infocusp Voices: Reflecting on 2024 Tech Trends &amp; 2025 Predictions! (Part - 3),2025-01-31T12:26:23Z,Infocusp Innovations
SFVDYd23Zn4,"Data &amp; analytics trends 2024: AI Adoption, real-time data &amp; platform updates | Ometis webinar",2025-01-29T16:16:22Z,Ometis
8F2tuDtN0PE,Infocusp Voices: Reflecting on 2024 Tech Trends &amp; 2025 Predictions! 🚀 (Part - 2),2025-01-28T14:43:22Z,Infocusp Innovations
2wjFvZJDR-s,AI Discusses the Latest Tech Trends of 2024 [PODCAST],2025-01-20T02:53:59Z,not6741
-wiZWIFg_4A,top 5 software testing trends of 2024,2025-01-12T01:12:40Z,CodeZone
BuuH9Cd5Rcs,top 5 software testing trends of 2024,2025-01-10T17:47:13Z,CodeMint
kqaMIFEz15s,Cybersecurity Trends for 2025 and Beyond,2024-12-30T12:01:03Z,IBM Technology
mn1M3QKHRAU,2024: Revisiting the Biggest Tech Trends of 2024,2024-12-28T05:40:52Z,WION
5zuF4Ys1eAw,AI Trends for 2025,2024-12-23T12:00:06Z,IBM Technology
